nis,username,password
1,leomessi,24061987
2,cristiano,5021985
3,k_mbappe,20121998
4,erling_haaland,21072000
5,jude_bellingham,29062003
6,vini_jr,12072000
7,kevindebruyne,28061991
8,mo_salah,15061992
9,lewandowski,21081988
10,harrykane,28071993
11,lukamodric,9091985
12,neymarjr,5021992
13,karimbenzema,19121987
14,tonikroos,4011990
15,anto_griezmann,21031991
16,phil_foden,28052000
17,bukayo_saka,5092001
18,rodri_hernandez,22061996
19,bernardo_silva,10081994
20,bruno_fernandes,8091994
21,luis_diaz,13011997
22,heungmin_son,8071992
23,lautaro_martinez,22081997
24,rafael_leao,10061999
25,khvicha_kvara,12022001
26,pedri_gonzalez,25112002
27,gavi_paez,5082004
28,jamal_musiala,26022003
29,florian_wirtz,3052003
30,leroy_sane,11011996
31,ilkay_guendogan,24101990
32,frenkie_dejong,12051997
33,federico_valverde,22071998
34,a_tchouameni,27012000
35,edu_camavinga,10112002
36,martin_odegaard,17121998
37,declan_rice,14011999
38,alexis_macallister,24121998
39,enzo_fernandez,17012001
40,casemiro_5,23021992
41,marquinhos_m5,14051994
42,virgil_vandijk,8071991
43,ruben_dias,14051997
44,antonio_ruediger,3031993
45,william_saliba,24032001
46,ronald_araujo,7031999
47,alphonso_davies,2112000
48,achraf_hakimi,4111998
49,trent_aa,7101998
50,reece_james,8121999
51,theo_hernandez,6101997
52,alisson_becker,2101992
53,ederson_moraes,17081993
54,thibaut_courtois,11051992
55,m_terstegen,30041992
56,mike_maignan,3071995
57,jan_oblak,7011993
58,gianluigi_donnarumma,25021999
59,emiliano_martinez,2091992
60,yassine_bounou,5041991
61,zinedine_zidane,23061972
62,ronaldinho_gaucho,21031980
63,ronaldo_nazario,18091976
64,kaka_ricardo,22041982
65,thierry_henry,17081977
66,david_beckham,2051975
67,andrea_pirlo,19051979
68,andres_iniesta,11051984
69,xavi_hernandez,25011980
70,steven_gerrard,30051980
71,frank_lampard,20061978
72,paul_scholes,16111974
73,ryan_giggs,29111973
74,wayne_rooney,24101985
75,luis_figo,4111972
76,francesco_totti,27091976
77,alessandro_delpiero,9111974
78,raul_gonzalez,27061977
79,michael_owen,14121979
80,didier_drogba,11031978
81,samuel_etoo,10031981
82,andriy_shevchenko,29091976
83,ruud_van_nistelrooy,1071976
84,patrick_vieira,23061976
85,clarence_seedorf,1041976
86,pavel_nedved,30081972
87,michael_ballack,26091976
88,arjen_robben,23011984
89,franck_ribery,7041983
90,zlatan_ibrahimovic,3101981
91,paolo_maldini,26061968
92,roberto_carlos,10041973
93,cafu_marcos,7061970
94,fabio_cannavaro,13091973
95,alessandro_nesta,19031976
96,carles_puyol,13041978
97,john_terry,7121980
98,rio_ferdinand,7111978
99,nemanja_vidic,21101981
100,sergio_ramos,30031986
101,gerard_pique,2021987
102,javier_zanetti,10081973
103,gianluigi_buffon,28011978
104,iker_casillas,20051981
105,oliver_kahn,15061969
106,edwin_vandersar,29101970
107,petr_cech,20051982
108,guti_haz,31101976
109,bastian_schweinsteiger,1081984
110,philipp_lahm,11111983
111,xabi_alonso,25111981
112,robin_van_persie,6081983
113,wesley_sneijder,9061984
114,mesut_ozil,15101988
115,sergio_aguero,2061988
116,luis_suarez,24011987
117,gareth_bale,16071989
118,eden_hazard,7011991
119,gonzalo_higuain,10121987
120,ce_fabregas,4051987
121,pele_edson,23101940
122,maradona_diego,30101960
123,johan_cruyff,25041947
124,franz_beckenbauer,11091945
125,michel_platini,21061955
126,marco_vanbasten,31101964
127,ruud_gullit,1091962
128,lothar_matthaeus,21031961
129,bobby_charlton,11101937
130,george_best,22051946
131,alfredo_distefano,4071926
132,ferenc_puskas,1041927
133,eusebio_pantera,25011942
134,garrincha_mane,28101933
135,romario_faria,29011966
136,bebeto_jose,16021964
137,roberto_baggio,18021967
138,gabriel_batistuta,1021969
139,eric_cantona,24051966
140,dennis_bergkamp,10051969
141,peter_schmeichel,18111963
142,dino_zoff,28021942
143,gordon_banks,30121937
144,lev_yashin,22101929
145,franco_baresi,8051960
146,juergen_klinsmann,30071964
147,hristo_stoichkov,8021966
148,gheorghe_hagi,5021965
149,michael_laudrup,15061964
150,bobby_moore,12041941
